family	group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
frontend-design	1	doordash-oss/agentic-orchestrator	skills/frontend-design/SKILL.md	main	https://github.com/doordash-oss/agentic-orchestrator/blob/main/skills/frontend-design/SKILL.md	body-copy-with-metadata-change	1.0	4	15	0.0	0	0	0	0	0	0			0.0			NO				NO	
frontend-design	2	Microck/ordinary-claude-skills	skills_all/frontend-design/SKILL.md	main	https://github.com/Microck/ordinary-claude-skills/blob/main/skills_all/frontend-design/SKILL.md	compact-rewrite	0.488	44	110	-0.5030775028262781	2	6	0	0	0	0			1.333	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	PARTIAL	Replace persona framing with generic anti-slop guidelines (template propagation)			MAYBE	
frontend-design	3	panin-glitch/EatLock	general skills/.codebuddy/skills/frontend-design/SKILL.md	main	https://github.com/panin-glitch/EatLock/blob/main/general skills/.codebuddy/skills/frontend-design/SKILL.md	workflow-specialization	0.519	7	10	0.13616379851777416	13	6	0	0	2	0			1.462	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | ## Context Gathering Protocol"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add context-gathering protocol before design direction			YES	
frontend-design	4	benjaminasterA/antigravity-awesome-skills	skills/frontend-design/SKILL.md	main	https://github.com/benjaminasterA/antigravity-awesome-skills/blob/main/skills/frontend-design/SKILL.md	workflow-specialization	0.472	7	19	-0.2023615123728175	30	6	0	1	0	0			1.2	++ | # Frontend Design (Distinctive, Production-Grade) | You are a **frontend designer-engineer**, not a layout generator.	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add quantitative design-scoring formula (DFII)			YES	
frontend-design	5	darthlinuxer/Agentic-Skills	.cursor/skills/frontend-design/SKILL.md	main	https://github.com/darthlinuxer/Agentic-Skills/blob/main/.cursor/skills/frontend-design/SKILL.md	routing-specialization	0.442	7	10	0.5302097726416279	44	6	1	0	0	0	heading: Related Skills; related skills		1.136	++ | # Frontend Design System | > **🛠️ MCP Tools Available**:	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add mandatory ask-before-assuming gate	Add selective-reading tool routing		YES	
frontend-design	6	diegosouzapw/awesome-omni-skills	skills/frontend-design-v5/SKILL.md	main	https://github.com/diegosouzapw/awesome-omni-skills/blob/main/skills/frontend-design-v5/SKILL.md	no-label	0.363	5	5	0.8681070217309383	51	6	0	0	6	0	heading: Related Skills; owns; related skills		1.118	++ | # Frontend Design (Distinctive, Production-Grade) | ## Overview	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	PARTIAL	Add intake-copy packaging with routing headers			MAYBE	
frontend-design	7	space-ast/ast	.claude/skills/frontend-design/SKILL.md	master	https://github.com/space-ast/ast/blob/master/.claude/skills/frontend-design/SKILL.md	compact-rewrite	0.488	2	2	-0.5094837331993468	11	5	0	1	0	0			1.333	"++ | Create distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. Implement real working | ## Design Thinking"	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	PARTIAL	Adopt anti-slop guidelines template			MAYBE	
frontend-design	8	archibate/dotfiles-opencode	skills/frontend-design/SKILL.md	main	https://github.com/archibate/dotfiles-opencode/blob/main/skills/frontend-design/SKILL.md	workflow-specialization	0.477	2	3	-0.4630071599045346	14	6	0	0	1	0			1.429	++ | # Frontend Design Skill | Design and implement memorable frontend interfaces with a clear, intentional aesthetic. The output must be real, working	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add explicit inputs-to-gather-or-assume contract			MAYBE	
frontend-design	9	rahulgupta2018/ai-software-factory	vendor-skills/frontend-design/SKILL.md	main	https://github.com/rahulgupta2018/ai-software-factory/blob/main/vendor-skills/frontend-design/SKILL.md	workflow-specialization	0.8	1	1	0.0727295565883683	4	0	0	0	0	0	owns		0.4	++ | ## Overview | Approach this as the design lead at a small studio known for giving every client a visual identity	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | If the brief does not pin down what the product or subject is, pin it yourself before designing: name one concrete subje	NO	Add when-to-activate trigger paragraph			PARTIAL	
frontend-design	10	quocthinhthan/Portfolio	.agents/skills/frontend-design/SKILL.md	main	https://github.com/quocthinhthan/Portfolio/blob/main/.agents/skills/frontend-design/SKILL.md	workflow-specialization	0.598	1	1	-0.3611355357367165	3	2	0	0	0	0			0.714	++ | Approach this as a careful design pass for an existing personal portfolio, not a blank-canvas rebrand. Make deliberate c | Read `.agents/PROJECT_CONTEXT.md` before making design changes. Treat this as a Vietnamese/English personal site for a b	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | If the brief does not pin down what the product or subject is, pin it yourself before designing: name one concrete subje	YES	Add project-specific context loading (PROJECT_CONTEXT.md)			YES	
frontend-design	11	ecocee/skills	skills/frontend-design/SKILL.md	main	https://github.com/ecocee/skills/blob/main/skills/frontend-design/SKILL.md	workflow-specialization	0.519	1	1	-0.019721140560231127	15	5	0	0	0	0	owns		1.25	++ | A skill for building distinctive, production-grade frontend interfaces with | genuine aesthetic direction. Every output is intentional, cohesive, and	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Convert process into explicit ordered steps with design-before-code gates			YES	
frontend-design	12	mrobbys/growth-landing-page	.agents/skills/frontend-design/SKILL.md	main	https://github.com/mrobbys/growth-landing-page/blob/main/.agents/skills/frontend-design/SKILL.md	workflow-specialization	0.5	1	1	-0.14181635472930537	5	6	1	0	0	0			1.833	++ | # PERSONA & TEACHING STYLE (BASE SYSTEM) | You are a Senior Software Engineer and an expert Technical Mentor. You strictly adhere to Clean Code, Software Architect	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	PARTIAL	Rewrite as persona/mentorship guide			NO	
frontend-design	13	studio-jami/jami-studio	templates/forms/.agents/skills/frontend-design/SKILL.md	main	https://github.com/studio-jami/jami-studio/blob/main/templates/forms/.agents/skills/frontend-design/SKILL.md	routing-specialization	0.507	1	1	0.2922999623162919	8	5	2	0	0	0	heading: Related Skills; owns; related skills		1.444	++ | This skill guides creation of distinctive, production-grade frontend interfaces. Implement real working code with strong | The user may ask for a component, page, full app, dashboard, marketing surface, or restyle. Before coding, understand th	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add framework-specific design rules (shadcn/ui)			YES	
frontend-design	14	ediktedrnd/dataviz-plugin	skills/frontend-design/SKILL.md	main	https://github.com/ediktedrnd/dataviz-plugin/blob/main/skills/frontend-design/SKILL.md	workflow-specialization	0.497	1	1	-0.19080517522924256	7	6	0	0	0	0			1.857	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add domain-specific rules (data-viz/dashboard)			YES	
frontend-design	15	rongxinzy/RongxinAI	SKILLs/frontend-design/SKILL.md	main	https://github.com/rongxinzy/RongxinAI/blob/main/SKILLs/frontend-design/SKILL.md	workflow-specialization	0.504	1	1	-0.24494410249968596	5	6	0	0	0	0			1.833	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add evaluation suite and delivery gate			PARTIAL	
frontend-design	16	majiayu000/claude-skill-registry	skills/data/mobile-fronted/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry/blob/main/skills/data/mobile-fronted/SKILL.md	workflow-specialization	0.498	1	2	-0.22421806305740485	2	6	0	0	0	0			1.333	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				NO	
frontend-design	17	Everfern-AI/Everfern	main/skills/frontend-design/SKILL.md	main	https://github.com/Everfern-AI/Everfern/blob/main/main/skills/frontend-design/SKILL.md	workflow-specialization	0.501	1	1	-0.27684964200477324	7	5	1	0	0	0	do not use		1.5	++ | Use this skill whenever the task touches frontend appearance or interaction: building UI, editing app screens, improving | The goal is clean, intentional, production-grade UI that looks designed for the product, not generated from a generic te	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add framework-specific implementation rules (React/Next.js)			YES	
frontend-design	18	luongnv89/skills	skills/frontend-design/SKILL.md	main	https://github.com/luongnv89/skills/blob/main/skills/frontend-design/SKILL.md	expanded-guidance	0.506	1	1	0.4185403843738224	17	5	2	0	0	0			1.222	"++ | Create distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. Implement real working | ## When to Use"	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add mandatory repo-sync-before-edits rule			MAYBE	
frontend-design	19	thatrebeccarae/claude-marketing	skills/frontend-design/SKILL.md	main	https://github.com/thatrebeccarae/claude-marketing/blob/main/skills/frontend-design/SKILL.md	workflow-specialization	0.472	1	1	-0.1372943097600804	23	5	3	1	1	0			1.167	++ | Create distinctive, production-grade web interfaces that avoid generic AI aesthetics. | ## Install	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add install instructions			PARTIAL	
frontend-design	20	tschuehly/lexware	.agents/skills/frontend-design/SKILL.md	main	https://github.com/tschuehly/lexware/blob/main/.agents/skills/frontend-design/SKILL.md	workflow-specialization	0.496	1	1	-0.26403718125863584	4	6	0	0	0	0			1.667	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add platform-specific rendering rules (mobile/safari + design-system doc link)			PARTIAL	
frontend-design	21	ShintaroaSuzuki/shintaroasuzuki-plugins	plugins/frontend-design/skills/frontend-design/SKILL.md	main	https://github.com/ShintaroaSuzuki/shintaroasuzuki-plugins/blob/main/plugins/frontend-design/skills/frontend-design/SKILL.md	workflow-specialization	0.501	1	1	-0.3316166310764979	2	6	0	0	0	0			1.333	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				NO	
frontend-design	22	lxyeternal/MalSkillBench	Dataset/Skills/malware/frontend-design__MIXED_B8/SKILL.md	main	https://github.com/lxyeternal/MalSkillBench/blob/main/Dataset/Skills/malware/frontend-design__MIXED_B8/SKILL.md	workflow-specialization	0.494	1	1	-0.30486119834191683	6	6	3	0	0	0			2.0	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	PARTIAL	Add benchmark-dataset packaging			NO	
frontend-design	23	pavanchanduri/expense-tracker	.claude/skills/frontend-design/SKILL.md	master	https://github.com/pavanchanduri/expense-tracker/blob/master/.claude/skills/frontend-design/SKILL.md	workflow-specialization	0.443	1	1	0.12649164677804295	12	6	0	0	0	0	don't use		1.5	++ | # Spendly UI Designer | You are designing frontend UI for **Spendly**, a personal expense tracker. Spendly is a Flask app with server-rendered J	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add product-specific design language and stack rules (Spendly)			YES	
frontend-design	24	julianoczkowski/designer-skills	frontend-design/SKILL.md	main	https://github.com/julianoczkowski/designer-skills/blob/main/frontend-design/SKILL.md	expanded-guidance	0.493	1	1	0.4417786710212285	14	6	0	1	0	0			1.429	++ | This skill guides creation of distinctive, production-grade frontend interfaces. Implement real working code with except | ## Example prompts	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add curated aesthetic-philosophy library			YES	
frontend-design	25	Necaifia/RepublicOS	.skill-engine/store/agent-skills/cline/test/frontend-design/SKILL.md	master	https://github.com/Necaifia/RepublicOS/blob/master/.skill-engine/store/agent-skills/cline/test/frontend-design/SKILL.md	workflow-specialization	0.503	1	1	-0.36377339530209774	6	6	0	0	0	0			2.0	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				NO	
frontend-design	26	roerohan/skills	frontend-design/SKILL.md	main	https://github.com/roerohan/skills/blob/main/frontend-design/SKILL.md	workflow-specialization	0.464	1	1	-0.1929405853535988	12	5	0	1	0	0			1.308	++ | UI/UX principles for building well-designed, accessible, maintainable React interfaces. | **Context:** This skill assumes React as the UI layer, typically with a meta-framework (TanStack Start, Next.js, Remix, 	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add decision-tree and spacing-system quick reference			YES	
frontend-design	27	julianromli/opencode-template	skill/frontend-design/SKILL.md	main	https://github.com/julianromli/opencode-template/blob/main/skill/frontend-design/SKILL.md	workflow-specialization	0.5	1	5	-0.3517146087174978	3	6	0	0	0	0			1.5	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				PARTIAL	
frontend-design	28	David-Li0406/meta-skill-evloving	skill-flow/data/skills-refined-autoskill-36k/skillsmp/frontend-design-69/SKILL.md	main	https://github.com/David-Li0406/meta-skill-evloving/blob/main/skill-flow/data/skills-refined-autoskill-36k/skillsmp/frontend-design-69/SKILL.md	workflow-specialization	0.494	1	1	-0.3759577942469539	9	6	0	0	2	0			1.667	"++ | <!-- Based on official Anthropic skill: https://github.com/anthropics/claude-code/blob/main/plugins/frontend-design/skil | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics."	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				NO	
frontend-design	29	YosemiteCrew/Yosemite-Crew	.claude/skills/frontend-design/SKILL.md	main	https://github.com/YosemiteCrew/Yosemite-Crew/blob/main/.claude/skills/frontend-design/SKILL.md	routing-specialization	0.449	1	1	-0.18854415274463007	14	6	1	1	0	0	do not use; owns		1.429	++ | # Frontend Design System - Yosemite Crew | ## Description	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add design-system reuse-before-create rules			YES	
frontend-design	30	gvkhosla/compound-engineering-pi	skills/frontend-design/SKILL.md	main	https://github.com/gvkhosla/compound-engineering-pi/blob/main/skills/frontend-design/SKILL.md	routing-specialization	0.497	1	1	0.7300590378093205	27	5	0	1	3	0	do not use		1.143	++ | Guide creation of distinctive, production-grade frontend interfaces that avoid generic AI aesthetics. This skill covers  | ## Authority Hierarchy	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add context-detection and authority hierarchy before design			MAYBE	
frontend-design	31	tim-smart/cheffect	.agents/skills/frontend/SKILL.md	main	https://github.com/tim-smart/cheffect/blob/main/.agents/skills/frontend/SKILL.md	workflow-specialization	0.49	1	1	-0.39467403592513506	2	6	0	0	0	0			1.333	"++ | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. | The user provides frontend requirements: a component, page, application, or interface to build. They may include context"	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				NO	
frontend-design	32	majiayu000/claude-skill-registry	skills/design/frontend-design-smooth-operation-household-expense-tr/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry/blob/main/skills/design/frontend-design-smooth-operation-household-expense-tr/SKILL.md	workflow-specialization	0.466	1	1	0.38399698530335385	27	5	0	1	3	0			1.143	++ | ## Core Principle | When building frontend interfaces, create distinctive, production-grade designs with intentional aesthetic direction. Av	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add numbered iron-law requirements			PARTIAL	
frontend-design	33	saberzou/agent-terrarium	skills/superdesign/SKILL.md	main	https://github.com/saberzou/agent-terrarium/blob/main/skills/superdesign/SKILL.md	workflow-specialization	0.447	1	1	0.2641627936188921	13	6	1	1	1	0			1.462	++ | # Frontend Design Skill | Use this skill when creating UI components, landing pages, dashboards, or any frontend design work.	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add phase-0 design-thinking gate with do/don't table			YES	
frontend-design	34	TanNhatCMS/awesome-trae-agent	.trae/skills/frontend-design/SKILL.md	main	https://github.com/TanNhatCMS/awesome-trae-agent/blob/main/.trae/skills/frontend-design/SKILL.md	workflow-specialization	0.499	1	1	-0.4675292048737596	5	6	0	0	2	0			1.833	++ | # frontend-design | > Adapted from Anthropic's official `frontend-design` skill for Open Design.	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add source/license attribution header + adaptation note			PARTIAL	
frontend-design	35	diegosouzapw/awesome-omni-skill	skills/development/frontend-design-play-makers/SKILL.md	main	https://github.com/diegosouzapw/awesome-omni-skill/blob/main/skills/development/frontend-design-play-makers/SKILL.md	workflow-specialization	0.462	1	1	-0.3500816480341666	19	6	0	1	1	0			1.316	++ | # Frontend Design Skill | This skill is invoked when building web components, pages, or applications. It focuses on generating creative, polished 	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				NO	
frontend-design	36	samilozturk/agentlint	skills/frontend/SKILL.md	main	https://github.com/samilozturk/agentlint/blob/main/skills/frontend/SKILL.md	workflow-specialization	0.45	1	1	-0.2968220072855169	24	6	3	1	0	0	don't use		1.25	++ | # Skill: Frontend Design | ## When to Use	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add skill-scope contract (when-to-use/scope/included/excluded/inputs)			YES	
frontend-design	37	Catsofsuffering/ccsm	templates/skills/domains/frontend-design/SKILL.md	main	https://github.com/Catsofsuffering/ccsm/blob/main/templates/skills/domains/frontend-design/SKILL.md	expanded-guidance	0.461	1	1	0.5778168571787464	24	6	0	0	2	0			1.25	"++ | # Frontend Design (Impeccable Fusion Edition) | This skill guides creation of distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics."	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Fuse two source skills into combined edition			MAYBE	
frontend-design	38	xsefirosus/sefi-agents	plugins/sefi-core/skills/frontend-design/SKILL.md	main	https://github.com/xsefirosus/sefi-agents/blob/main/plugins/sefi-core/skills/frontend-design/SKILL.md	workflow-specialization	0.482	1	1	-0.4606205250596659	3	6	0	1	2	0			1.5	++ | # Frontend Design -- anti-slop craft | Craft skill backing the ui-ux-designer and the software-engineer above the API seam.	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				PARTIAL	
frontend-design	39	dangindev/antigravity-awesome-workspace-skill	skill_library/everything-claude-code/frontend-design/SKILL.md	main	https://github.com/dangindev/antigravity-awesome-workspace-skill/blob/main/skill_library/everything-claude-code/frontend-design/SKILL.md	compact-rewrite	0.5	1	1	-0.5542017334505716	15	5	0	0	0	0			1.25	"++ | Use this when the task is not just ""make it work"" but ""make it look designed."" | This skill is for product pages, dashboards, app shells, components, or visual systems that need a clear point of view i"	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Reorder workflow: frame interface before visual system			PARTIAL	
frontend-design	40	mohitagw15856/pm-claude-skills	skills/frontend-design/SKILL.md	main	https://github.com/mohitagw15856/pm-claude-skills/blob/main/skills/frontend-design/SKILL.md	workflow-specialization	0.469	1	1	-0.44039693505840977	8	6	0	0	1	0			1.75	++ | # Frontend Design Skill | AI-generated UI has a recognisable smell: default blues, five different paddings, everything the same visual weight, no 	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add design-system-first workflow (system before UI)			YES	
